Class,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Result
T142,7907.621372,5330.944786,4150.133839,3997.817251,4386.360921,3933.140129,3947.43407,3177.026049,2802.429536,2629.057143,179.9164156,177.3334896,179.068871,149.1812663,149.7772013,165.3184484,134.0120007,133.8799292,126.2786014,112.8567312,E
T143,7842.325611,6327.791791,5204.762776,4015.989065,4279.17454,4654.092466,4809.51084,3422.999922,2595.58018,2457.715705,168.211831,155.8202014,149.713422,179.0232841,179.9109149,403.0182761,288.6175184,159.7702951,110.5889857,94.11583938,E
T144,10527.81438,9329.82945,10002.37188,7826.656751,6791.741674,6291.875039,5964.99397,5426.887856,4709.468397,4636.979662,347.1464549,311.2659236,273.4710912,240.0987878,218.0002851,221.0956857,166.1229601,184.4480041,185.9525031,180.7477619,E
T145,3831.220904,3136.179358,1991.540579,1448.633789,1590.867063,1765.388266,1892.530816,1643.844437,1431.909362,1175.519343,202.3574134,515.3278932,234.8262489,109.2933113,145.0787433,240.4290123,150.1580905,104.9747552,89.30227574,77.19934098,E
T146,3709.419624,2656.322873,2227.362867,2075.339671,2196.059041,2012.393824,2313.540716,1574.334471,1173.980919,931.4171915,112.7036394,103.6872893,92.72258201,88.21620978,85.5079846,135.0703905,97.23403081,79.34121678,68.86494645,68.7336792,E
T147,3969.67692,3358.737899,3050.378913,2763.290724,2675.434337,2274.125509,2265.899739,2508.666096,2139.965114,1741.485822,153.6107181,161.1455554,153.7946586,143.6023332,149.8940925,197.0483468,158.9503379,125.1332717,106.1662022,105.3616316,E
T148,16085.65138,14108.75605,13770.72628,12431.4914,12731.22403,11495.31954,11354.41843,10274.99679,7697.049467,6885.089907,322.4332616,298.1649536,268.8041903,252.3691886,265.4677908,320.9464413,218.2442396,210.7631779,206.9367616,188.2934362,E
T149,3151.060516,2656.046485,2116.405958,2017.81861,1809.311776,1480.971288,1521.35477,1338.667748,1039.031103,883.8760815,130.3422721,127.2599598,124.7904025,134.2211223,129.607334,269.3324644,216.9839433,134.7788815,104.7272695,85.8491499,E
T150,11641.38891,7860.941475,6209.810994,5062.599918,4149.039582,3624.688171,3215.501718,3224.201327,3236.542964,2795.285786,190.0301571,175.9601825,171.0258308,147.3251919,142.4267428,173.1469657,125.8296401,119.0755927,104.8482227,109.0373289,E
T151,4562.871838,4040.587743,3700.366686,5084.144209,4858.623449,3884.723301,3413.549764,2160.398901,1660.874702,1281.14165,183.8774655,200.3353018,154.3213148,149.6929813,158.6680076,219.3208823,129.8459604,127.8482819,119.7652356,89.57656667,E
T152,2053.365623,1679.079617,1463.72042,1492.693735,1330.524895,1130.733689,958.3824455,765.8353445,654.5137325,602.8711517,95.1093406,92.27863066,83.55412473,77.11540653,80.12205708,122.977948,67.78215508,61.02416521,54.98857359,52.99548385,E
T153,9047.876276,6656.459518,5522.698035,4501.816577,5169.730251,4706.922822,5091.35437,3494.337793,2869.072095,2296.672947,226.9941979,215.5352477,202.0144865,187.7161693,182.7274663,177.1864631,171.3207886,154.1120119,148.1240512,145.1995076,E
