Spectrum Analyzer Data File
2015-02-08 16:02:35

Frequency (Hz), Amplitude,Average Amplitude
0.0000000,0.0,0.0
172.2656250,1.7007713,7.449878
344.5312500,1.4088899,10.205305
516.7968750,3.20995,13.931781
689.0625000,9.21937,10.295606
861.3281250,14.482284,7.5319266
1033.5937500,5.020167,5.5298123
1205.8593750,2.8101726,3.7532115
1378.1250000,3.9296005,4.9866943
1550.3906250,3.0599678,2.7341363
1722.6562500,3.807642,3.0186858
1894.9218750,1.4699492,2.4862587
2067.1875000,1.3297875,1.7095544
2239.4531250,1.9979883,1.9697099
2411.7187500,1.8838377,1.4472072
2583.9843750,0.8394933,1.1178257
2756.2500000,0.78878504,1.8365848
2928.5156250,0.5892076,1.4328747
3100.7812500,0.5073759,1.3340801
3273.0468750,0.21378735,0.9294581
3445.3125000,0.75058657,1.2732611
3617.5781250,1.014543,1.0519269
3789.8437500,0.6247271,1.0570939
3962.1093750,0.81259143,1.6951354
4134.3750000,0.34342155,1.5880069
4306.6406250,0.34803814,0.9644262
4478.9062500,0.20156036,0.80261093
4651.1718750,0.36131772,1.1406745
4823.4375000,0.37170225,0.684486
4995.7031250,0.34353718,0.61788493
5167.9687500,0.2654295,0.56220025
5340.2343750,0.09815025,0.43471572
5512.5000000,0.41233933,0.5447863
5684.7656250,0.36472365,0.84252256
5857.0312500,0.3210451,1.0326269
6029.2968750,0.47105187,1.1814234
6201.5625000,0.22780521,0.54565346
6373.8281250,0.14849804,0.34886035
6546.0937500,0.14089231,0.32616466
6718.3593750,0.18475395,0.47573337
6890.6250000,0.29795972,0.46834335
7062.8906250,0.19616291,0.42278114
7235.1562500,0.23669448,0.37226552
7407.4218750,0.28805876,0.6935417
7579.6875000,0.15866677,0.31766355
7751.9531250,0.22294357,0.26170406
7924.2187500,0.25979924,0.3290737
8096.4843750,0.06809479,0.5636924
8268.7500000,0.0855011,0.18835264
8441.0156250,0.100465685,0.2742507
8613.2812500,0.22592129,0.22505799
8785.5468750,0.12817252,0.19091712
8957.8125000,0.19027294,0.17962636
9130.0781250,0.22160596,0.22656226
9302.3437500,0.11926712,0.2037519
9474.6093750,0.0830294,0.14966838
9646.8750000,0.12545113,0.18543927
9819.1406250,0.13407321,0.17180233
9991.4062500,0.13110636,0.16580208
10163.6718750,0.13234417,0.18223234
10335.9375000,0.07856649,0.17107464
10508.2031250,0.14797543,0.17354353
10680.4687500,0.107566,0.16311578
10852.7343750,0.14869206,0.1712008


Time (s), Raw data
0.0000000,67.500
0.0000454,141.500
0.0000907,234.000
0.0001361,376.500
0.0001814,463.500
0.0002268,484.500
0.0002721,505.000
0.0003175,472.000
0.0003628,417.500
0.0004082,330.500
0.0004535,182.500
0.0004989,58.000
0.0005442,37.500
0.0005896,-35.500
0.0006349,-118.500
0.0006803,-212.000
0.0007256,-382.000
0.0007710,-529.000
0.0008163,-603.000
0.0008617,-570.500
0.0009070,-561.000
0.0009524,-571.500
0.0009977,-500.000
0.0010431,-390.000
0.0010884,-232.000
0.0011338,-81.000
0.0011791,-15.000
0.0012245,5.500
0.0012698,72.500
0.0013152,166.500
0.0013605,276.500
0.0014059,361.500
0.0014512,371.500
0.0014966,347.000
0.0015419,253.500
0.0015873,173.500
0.0016327,95.500
0.0016780,11.500
0.0017234,-100.500
0.0017687,-136.000
0.0018141,-189.000
0.0018594,-208.000
0.0019048,-257.000
0.0019501,-320.000
0.0019955,-383.000
0.0020408,-416.000
0.0020862,-496.500
0.0021315,-524.500
0.0021769,-507.500
0.0022222,-535.000
0.0022676,-473.500
0.0023129,-315.000
0.0023583,-142.500
0.0024036,-81.000
0.0024490,-82.000
0.0024943,-117.500
0.0025397,-165.500
0.0025850,-214.000
0.0026304,-301.500
0.0026757,-305.500
0.0027211,-321.000
0.0027664,-323.000
0.0028118,-347.500
0.0028571,-360.500
0.0029025,-395.000
0.0029478,-452.000
0.0029932,-489.500
0.0030385,-447.000
0.0030839,-413.500
0.0031293,-326.000
0.0031746,-228.000
0.0032200,-169.500
0.0032653,-105.500
0.0033107,-58.000
0.0033560,39.500
0.0034014,126.000
0.0034467,160.000
0.0034921,195.000
0.0035374,180.500
0.0035828,144.500
0.0036281,65.500
0.0036735,-113.500
0.0037188,-296.500
0.0037642,-514.000
0.0038095,-593.000
0.0038549,-620.500
0.0039002,-610.000
0.0039456,-553.000
0.0039909,-497.500
0.0040363,-427.000
0.0040816,-391.500
0.0041270,-441.500
0.0041723,-457.500
0.0042177,-595.000
0.0042630,-666.500
0.0043084,-745.500
0.0043537,-749.000
0.0043991,-675.000
0.0044444,-645.000
0.0044898,-571.500
0.0045351,-500.500
0.0045805,-372.000
0.0046259,-207.500
0.0046712,-49.000
0.0047166,81.000
0.0047619,206.000
0.0048073,261.500
0.0048526,226.000
0.0048980,173.000
0.0049433,116.000
0.0049887,117.000
0.0050340,70.500
0.0050794,-40.500
0.0051247,-141.500
0.0051701,-245.500
0.0052154,-351.000
0.0052608,-394.000
0.0053061,-397.500
0.0053515,-415.500
0.0053968,-460.000
0.0054422,-497.500
0.0054875,-512.500
0.0055329,-516.000
0.0055782,-486.500
0.0056236,-414.000
0.0056689,-366.500
0.0057143,-360.000
0.0057596,-352.500


Third Octave Bands
Center Frequency (Hz), Amplitude
1587.4010,3.5486546
2000.0000,2.0957246
2519.8420,1.3071558
3174.8020,0.5827277
4000.0000,0.5119218
5039.6841,0.30273542
6349.6040,0.2541122
8000.0000,0.17955427
