Spectrum Analyzer Data File																							
2015/3/17 16:27																							
				708.2554409	513.6905366	436.6705995	359.8305541	379.3850617	334.5515143	298.1816399	276.815168	274.0622257	249.6092036	54.90802455	52.46199361	51.33669516	41.45526939	42.61493985	39.14255035	38.13432002	35.252488	34.62332835	32.6541781
Frequency (Hz)	 Amplitude	Average Amplitude																					
0	0	0		1																			
2.6916504	5.71E-06	1.05E-05		1.000024132																			
5.3833008	6.12E-05	1.63E-04		1.000375465																			
8.0749512	2.18E-04	7.42E-04		1.001709302																			
10.7666016	9.60E-04	0.002164397		1.004996146																			
13.458252	0.001719296	0.004913687		1.01137843																			
16.1499023	0.003429313	0.009222255		1.021462094																			
18.8415527	0.006516461	0.015117767		1.035422903																			
21.5332031	0.010153594	0.023214867		1.054908683																			
24.2248535	0.014665131	0.033724006		1.080746919																			
26.9165039	0.019384539	0.04554857		1.110576731																			
29.6081543	0.026869617	0.06362203		1.157769302																			
32.2998047	0.031404614	0.085607246		1.217887705																			
34.9914551	0.04371905	0.09065224		1.232117823																			
37.6831055	0.037925795	0.109116904		1.285632682																			
40.3747559	0.06815802	0.13864449		1.376082558																			
43.0664062	0.07773533	0.16851483		1.474058875																			
45.7580566	0.07936901	0.19624951		1.571265265																			
48.449707	0.10817021	0.2326272		1.708548061																			
51.1413574	0.1039811	0.26318046		1.833075952																			
53.8330078	0.21133612	0.33671016		2.171251643																			
56.5246582	0.14631596	0.459982		2.883911973																			
59.2163086	0.14442681	0.560323		3.633481891																			
61.907959	0.553107	0.87108755		7.431689392																			
64.5996094	0.9715252	1.5187542		33.01826129																			
67.2912598	1.5872564	2.092282		123.6750231																			
69.9829102	1.0778403	1.6378934		43.44035843																			
72.6745605	1.1432917	3.4313393		2699.847911																			
75.3662109	0.17865619	4.902252		79845.78592																			
78.0578613	2.059561	4.0431204		11043.84747																			
80.7495117	4.8883314	6.970991		9353862.897																			
83.4411621	9.892348	7.772037		59161203.48																			
86.1328125	13.909891	7.613976		41112700.08																			
88.8244629	5.3237405	7.4776063		30033524.46																			
91.5161133	6.7449555	8.571319		372665337.6																			
94.2077637	7.5189605	14.209382		1.62E+14																			
96.8994141	13.47753	9.477104		2999880811																			
99.5910645	5.74525	9.714741		5184907346																			
102.2827148	12.479896	13.975191		9.44E+13																			
104.9743652	17.258907	18.462572		2.90E+18																			
107.6660156	5.2435765	16.579458		3.80E+16																			
110.357666	36.36532	14.744356		5.55E+14																			
113.0493164	20.656382	12.643691		4.40E+12																			
115.7409668	11.90716	18.251564		1.78E+18																			
118.4326172	12.412066	12.189965		1.55E+12																			
121.1242676	11.393428	18.254576		1.80E+18																			
123.815918	14.9067	16.973135		9.40E+16																			
126.5075684	26.174612	15.267232		1.85E+15																			
129.1992188	9.388288	17.548925		3.54E+17																			
131.8908691	9.618755	15.098935		1.26E+15																			
134.5825195	20.82293	18.772842		5.93E+18																			
137.2741699	6.445804	23.16382		1.46E+23																			
139.9658203	10.951647	24.65767		4.55E+24																			
142.6574707	3.6835473	19.112764		1.30E+19																			
145.3491211	23.623375	29.341217		2.19E+29																			
148.0407715	59.333652	23.0394		1.09E+23																			
150.7324219	12.822313	26.326365		2.12E+26																			
153.4240723	23.443895	32.901352		7.97E+32																			
156.1157227	47.835693	35.759384		5.75E+35																			
158.807373	38.658184	39.259995		1.82E+39																			
161.4990234	26.193792	47.193222		1.56E+47																			
164.1906738	8.606472	25.388357		2.45E+25																			
166.8823242	27.653717	43.501396		3.17E+43																			
169.5739746	10.347145	44.28447		1.93E+44																			
172.265625	27.345358	30.226614		1.69E+30																			
174.9572754	52.533756	44.870407		7.42E+44																			
177.6489258	33.362152	56.94629		8.84E+56																			
180.3405762	7.9457345	33.043686		1.11E+33																			
183.0322266	62.82813	33.080204		1.20E+33																			
185.723877	43.40825	44.15708		1.44E+44																			
188.4155273	168.331	62.111336		1.29E+62																			
191.1071777	132.31459	58.84105		6.94E+58																			
193.7988281	52.361153	56.910194		8.13E+56																			
196.4904785	103.67917	70.349655		2.24E+70																			
199.1821289	76.08117	43.237423		1.73E+43																			
201.8737793	129.29549	67.34984		2.24E+67																			
204.5654297	89.8573	74.27026		1.86E+74																			
207.2570801	73.46297	48.058456		1.14E+48																			
209.9487305	114.62588	61.35164		2.25E+61																			
212.6403809	84.85469	81.863556		7.30E+81																			
215.3320312	76.55078	73.131516		1.35E+73																			
218.0236816	80.315346	96.34122		2.19E+96																			
220.715332	44.0735	57.853703		7.14E+57																			
223.4069824	35.713093	82.80622		6.40E+82																			
226.0986328	56.694107	49.808933		6.44E+49																			
228.7902832	45.636402	59.36226		2.30E+59																			
231.4819336	23.435484	64.82659		6.71E+64																			
234.173584	56.30453	37.781525		6.05E+37																			
236.8652344	53.013718	31.980124		9.55E+31																			
239.5568848	52.652313	47.41799		2.62E+47																			
242.2485352	17.51705	43.27254		1.87E+43																			
244.9401855	14.377138	42.717625		5.22E+42																			
247.6318359	36.620834	33.6082		4.06E+33																			
250.3234863	16.074924	43.849075		7.06E+43																			
253.0151367	50.241932	52.66107		4.58E+52																			
255.7067871	29.714592	34.954002		9.00E+34																			
258.3984375	23.561598	47.50984		3.23E+47																			
261.0900879	35.78623	57.045403		1.11E+57																			
263.7817383	46.66587	48.51972		3.31E+48																			
266.4733887	74.82212	70.65768		4.55E+70																			
269.1650391	28.97958	54.052544		1.13E+54																			
271.8566895	59.166122	56.78831		6.14E+56																			
274.5483398	43.94274	100.78		6.03E+100																			
277.2399902	23.895819	62.732105		5.40E+62																			
279.9316406	31.199625	64.5284		3.38E+64																			
282.623291	92.09464	64.6824		4.81E+64																			
285.3149414	92.68318	100.16228		1.45E+100																			
288.0065918	43.063522	51.056343		1.14E+51																			
290.6982422	41.291542	60.525883		3.36E+60																			
293.3898926	46.879456	38.796417		6.26E+38																			
296.081543	87.90246	75.36967		2.34E+75																			
298.7731934	32.233845	67.74027		5.50E+67																			
301.4648438	74.44933	62.123035		1.33E+62																			
304.1564941	56.77693	80.55072		3.55E+80																			
306.8481445	57.93892	86.25932		1.82E+86																			
309.5397949	109.56219	87.66471		4.62E+87																			
312.2314453	77.95292	69.9081		8.09E+69																			
314.9230957	70.32495	55.33994		2.19E+55																			
317.6147461	108.482056	72.39845		2.50E+72																			
320.3063965	51.160736	66.6316		4.28E+66																			
322.9980469	74.64482	59.208782		1.62E+59																			
325.6896973	14.011509	46.223255		1.67E+46																			
328.3813477	80.18203	33.779694		6.02E+33																			
331.072998	96.86915	67.46337		2.91E+67																			
333.7646484	60.014763	73.06217		1.15E+73																			
336.4562988	49.576694	47.821068		6.62E+47																			
339.1479492	60.212677	63.971344		9.36E+63																			
