Spectrum Analyzer Data File
2015-03-17 16:37:32

Frequency (Hz), Amplitude,Average Amplitude
0.0000000,0.0,0.0
2.6916504,2.6698697E-5,0.0
5.3833008,3.8857732E-4,0.0
8.0749512,0.0019226004,0.0
10.7666016,0.0053220256,0.0
13.4582520,0.012093857,0.0
16.1499023,0.02250498,0.0
18.8415527,0.03475434,0.0
21.5332031,0.0542117,0.0
24.2248535,0.08048274,0.0
26.9165039,0.10377208,0.0
29.6081543,0.13229868,0.0
32.2998047,0.17105259,0.0
34.9914551,0.20379482,0.0
37.6831055,0.27640715,0.0
40.3747559,0.33867508,0.0
43.0664062,0.37810022,0.0
45.7580566,0.47041392,0.0
48.4497070,0.5662825,0.0
51.1413574,0.61135983,0.0
53.8330078,0.652315,0.0
56.5246582,1.0542268,0.0
59.2163086,1.0871911,0.0
61.9079590,1.6963466,0.0
64.5996094,1.5338843,0.0
67.2912598,2.9451337,0.0
69.9829102,2.859793,0.0
72.6745605,4.329575,0.0
75.3662109,0.9045545,0.0
78.0578613,0.6192768,0.0
80.7495117,10.05751,0.0
83.4411621,7.613159,0.0
86.1328125,6.7183537,0.0
88.8244629,12.924115,0.0
91.5161133,4.3528695,0.0
94.2077637,9.237994,0.0
96.8994141,11.549632,0.0
99.5910645,9.721749,0.0
102.2827148,19.382095,0.0
104.9743652,31.202944,0.0
107.6660156,29.997362,0.0
110.3576660,26.644415,0.0
113.0493164,12.709636,0.0
115.7409668,14.310378,0.0
118.4326172,35.37623,0.0
121.1242676,12.7628565,0.0
123.8159180,8.089567,0.0
126.5075684,15.86374,0.0
129.1992188,24.391703,0.0
131.8908691,22.324535,0.0
134.5825195,23.90233,0.0
137.2741699,20.50369,0.0
139.9658203,7.9570794,0.0
142.6574707,65.19595,0.0
145.3491211,82.4119,0.0
148.0407715,14.961268,0.0
150.7324219,58.158417,0.0
153.4240723,28.362148,0.0
156.1157227,23.137936,0.0
158.8073730,42.084396,0.0
161.4990234,86.05993,0.0
164.1906738,56.451077,0.0
166.8823242,2.7247512,0.0
169.5739746,15.478929,0.0
172.2656250,12.629937,0.0
174.9572754,57.014423,0.0
177.6489258,22.271465,0.0
180.3405762,67.158295,0.0
183.0322266,3.5626893,0.0
185.7238770,32.517193,0.0
188.4155273,19.755444,0.0
191.1071777,121.7265,0.0
193.7988281,51.99399,0.0
196.4904785,50.63259,0.0
199.1821289,90.48349,0.0
201.8737793,117.29676,0.0
204.5654297,102.53055,0.0
207.2570801,47.12368,0.0
209.9487305,134.2757,0.0
212.6403809,60.154663,0.0
215.3320312,66.26447,0.0
218.0236816,108.48299,0.0
220.7153320,99.69184,0.0
223.4069824,81.26952,0.0
226.0986328,76.61555,0.0
228.7902832,53.367535,0.0
231.4819336,38.55289,0.0
234.1735840,69.52078,0.0
236.8652344,101.80512,0.0
239.5568848,46.11189,0.0
242.2485352,70.544624,0.0
244.9401855,119.840454,0.0
247.6318359,86.022575,0.0
250.3234863,80.74759,0.0
253.0151367,27.09597,0.0
255.7067871,148.52037,0.0
258.3984375,187.37798,0.0
261.0900879,220.31279,0.0
263.7817383,120.125694,0.0
266.4733887,47.937992,0.0
269.1650391,289.94998,0.0
271.8566895,191.88783,0.0
274.5483398,256.60245,0.0
277.2399902,308.2582,0.0
279.9316406,186.9403,0.0
282.6232910,131.7323,0.0
285.3149414,463.9889,0.0
288.0065918,280.84433,0.0
290.6982422,297.6712,0.0
293.3898926,144.54817,0.0
296.0815430,175.97249,0.0
298.7731934,156.82674,0.0
301.4648438,89.09432,0.0
304.1564941,66.48795,0.0
306.8481445,18.248953,0.0
309.5397949,251.78915,0.0
312.2314453,65.73312,0.0
314.9230957,179.35826,0.0
317.6147461,132.175,0.0
320.3063965,228.35362,0.0
322.9980469,173.35349,0.0
325.6896973,246.14278,0.0
328.3813477,121.76064,0.0
331.0729980,180.36363,0.0
333.7646484,213.41924,0.0
336.4562988,155.47911,0.0
339.1479492,68.17007,0.0
341.8395996,72.196,0.0
344.5312500,38.40971,0.0
347.2229004,24.815395,0.0
349.9145508,56.041225,0.0
352.6062012,104.855316,0.0
355.2978516,30.608137,0.0
357.9895020,93.91586,0.0
360.6811523,107.970276,0.0
363.3728027,72.7942,0.0
366.0644531,60.82437,0.0
368.7561035,24.346407,0.0
371.4477539,119.767914,0.0
374.1394043,44.157764,0.0
376.8310547,93.03626,0.0
379.5227051,117.748924,0.0
382.2143555,28.01674,0.0
384.9060059,103.98975,0.0
387.5976562,23.989038,0.0
390.2893066,118.40592,0.0
392.9809570,66.012596,0.0
395.6726074,129.83318,0.0
398.3642578,58.7096,0.0
401.0559082,64.595345,0.0
403.7475586,40.864395,0.0
406.4392090,132.30925,0.0
409.1308594,119.18848,0.0
411.8225098,145.56075,0.0
414.5141602,76.39145,0.0
417.2058105,98.01145,0.0
419.8974609,64.60396,0.0
422.5891113,44.378773,0.0
425.2807617,54.71691,0.0
427.9724121,123.10786,0.0
430.6640625,54.621494,0.0
433.3557129,61.129944,0.0
436.0473633,72.9736,0.0
438.7390137,98.09107,0.0
441.4306641,43.903812,0.0
444.1223145,66.12662,0.0
446.8139648,111.56247,0.0
449.5056152,102.057,0.0
452.1972656,224.98492,0.0
454.8889160,147.09953,0.0
457.5805664,74.2876,0.0
460.2722168,85.95826,0.0
462.9638672,87.06384,0.0
465.6555176,93.03854,0.0
468.3471680,44.691017,0.0
471.0388184,143.07063,0.0
473.7304688,71.15365,0.0
476.4221191,41.37599,0.0
479.1137695,60.688934,0.0
481.8054199,63.465904,0.0
484.4970703,290.6338,0.0
487.1887207,603.1265,0.0
489.8803711,470.2638,0.0
492.5720215,433.86353,0.0
495.2636719,284.7521,0.0
497.9553223,43.36312,0.0
500.6469727,113.963936,0.0
503.3386230,139.26268,0.0
506.0302734,148.16438,0.0
508.7219238,240.33865,0.0
511.4135742,161.80383,0.0
514.1052246,197.97191,0.0
516.7968750,86.31093,0.0
519.4885254,115.59034,0.0
522.1801758,39.93878,0.0
524.8718262,257.34836,0.0
527.5634766,258.4241,0.0
530.2551270,63.977867,0.0
532.9467773,84.93571,0.0
535.6384277,218.24937,0.0
538.3300781,180.95596,0.0
541.0217285,126.349396,0.0
543.7133789,39.097332,0.0
546.4050293,104.85164,0.0
549.0966797,113.33499,0.0
551.7883301,70.43357,0.0
554.4799805,166.47287,0.0
557.1716309,113.58665,0.0
559.8632812,201.34654,0.0
562.5549316,447.2568,0.0
565.2465820,215.0818,0.0
567.9382324,194.63213,0.0
570.6298828,67.51927,0.0
573.3215332,123.67702,0.0
576.0131836,75.93383,0.0
