Spectrum Analyzer Data File
2015-04-14 18:18:03

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,3.6212765E-5,1.89032E-5,3.6212765E-5
5.3833008,5.475186E-4,2.8581574E-4,5.475186E-4
8.0749512,0.0025306672,0.0013310269,0.0025306672
10.7666016,0.006997435,0.0037412136,0.006997435
13.4582520,0.015067784,0.008222508,0.015067784
16.1499023,0.028230561,0.015148378,0.028230561
18.8415527,0.046121158,0.025088292,0.046121158
21.5332031,0.07139195,0.038383473,0.07139195
24.2248535,0.096594416,0.053009227,0.096594416
26.9165039,0.12291377,0.0694302,0.12291377
29.6081543,0.1666773,0.09140093,0.1666773
32.2998047,0.2330187,0.12411059,0.2330187
34.9914551,0.26353925,0.15379784,0.26353925
37.6831055,0.36369923,0.19392155,0.36369923
40.3747559,0.36792016,0.20954598,0.36792016
43.0664062,0.41870072,0.24881049,0.41870072
45.7580566,0.50654817,0.30494705,0.50654817
48.4497070,0.58031315,0.35997894,0.58031315
51.1413574,0.693592,0.4400367,0.693592
53.8330078,0.8862882,0.51763016,0.8862882
56.5246582,1.3029686,0.7281636,1.3029686
59.2163086,0.50391346,0.6718814,0.816186
61.9079590,3.5617692,2.03729,3.5617692
64.5996094,5.1489115,2.4594502,5.1489115
67.2912598,4.2317395,2.3241181,4.2317395
69.9829102,8.186661,3.3784623,8.186661
72.6745605,1.9722644,2.4220731,2.9763694
75.3662109,16.815434,10.2316675,16.815434
78.0578613,7.0957875,5.9174767,7.0957875
80.7495117,2.915881,5.472271,12.007302
83.4411621,15.25836,14.710189,15.25836
86.1328125,3.503248,8.659403,16.099897
88.8244629,19.52448,12.5531845,19.52448
91.5161133,8.337227,12.460087,28.834776
94.2077637,20.462011,34.48891,70.13864
96.8994141,13.060791,16.030378,20.751232
99.5910645,57.17908,99.77312,160.1718
102.2827148,24.449053,42.183697,73.104706
104.9743652,1.1561604,22.294788,45.503544
107.6660156,8.850013,9.088688,16.17255
110.3576660,28.778511,29.17754,36.320587
113.0493164,42.294228,30.35319,42.294228
115.7409668,112.53393,63.2284,112.53393
118.4326172,23.494215,66.295746,96.62875
121.1242676,4.873846,49.80694,79.45875
123.8159180,96.1564,89.1173,96.1564
126.5075684,71.48994,65.49216,71.48994
129.1992188,38.58441,46.170868,51.48671
131.8908691,84.735054,72.32466,97.9625
134.5825195,75.20864,47.588947,75.20864
137.2741699,75.63202,50.077484,75.63202
139.9658203,28.694088,142.73216,261.0308
142.6574707,64.52858,100.648315,194.37227
145.3491211,109.24037,93.27151,109.24037
148.0407715,181.45366,154.43008,246.13484
150.7324219,109.694,211.9752,469.65982
153.4240723,183.8402,161.90009,193.60681
156.1157227,58.487206,96.354935,116.88541
158.8073730,103.41512,96.83511,122.78148
161.4990234,65.583565,146.01518,204.12033
164.1906738,81.35028,100.04877,135.67723
166.8823242,43.622475,66.74651,97.64231
169.5739746,129.26695,124.33553,183.97514
