Spectrum Analyzer Data File		
2015/4/14 18:24		
		
Frequency (Hz)	Average Amplitude	Max Amplitude
0	0	0
2.6916504	5.77E-05	1.51E-04
5.3833008	8.87E-04	0.002284963
8.0749512	0.00422235	0.010761234
10.7666016	0.012086828	0.030830383
13.458252	0.02639538	0.067184396
16.1499023	0.04869817	0.123399645
18.8415527	0.081005774	0.20171778
21.5332031	0.1229947	0.30102637
24.2248535	0.17593832	0.4269455
26.9165039	0.2371753	0.572018
29.6081543	0.31284013	0.7457376
32.2998047	0.41577822	0.98879606
34.9914551	0.49065876	1.146404
37.6831055	0.59499127	1.2928394
40.3747559	0.7597559	1.5972098
43.0664062	0.88719183	2.0572798
45.7580566	1.0298588	2.3148818
48.449707	1.2283176	2.6652966
51.1413574	1.5156202	3.050679
53.8330078	1.9028876	3.6315222
56.5246582	2.959285	5.1128125
59.2163086	3.658386	5.5661163
61.907959	3.6579006	5.7086406
64.5996094	4.6849346	9.222996
67.2912598	5.7436075	8.721158
69.9829102	29.805046	61.14671
72.6745605	20.65487	34.39118
75.3662109	13.340508	22.36668
78.0578613	8.440681	17.322643
80.7495117	31.671005	69.41233
83.4411621	22.102692	43.973976
86.1328125	12.495231	19.210463
88.8244629	42.038643	82.01934
91.5161133	35.434612	79.06759
94.2077637	51.13555	74.2046
96.8994141	31.876385	48.553066
99.5910645	51.097183	92.452156
102.2827148	35.017242	84.87761
104.9743652	47.89868	97.17071
107.6660156	30.055872	43.384872
110.357666	31.859415	49.256702
113.0493164	36.17311	59.75249
115.7409668	96.73753	159.88446
118.4326172	48.105785	119.22785
121.1242676	70.85738	138.07216
123.815918	86.11024	129.17125
126.5075684	73.7741	137.49753
129.1992188	72.54711	141.26517
131.8908691	102.35375	172.12546
134.5825195	98.647736	142.84645
137.2741699	94.539894	205.32838
139.9658203	185.29979	553.02185
142.6574707	83.970695	132.2972
145.3491211	160.46391	275.78543
148.0407715	156.3286	266.55563
150.7324219	142.47261	204.88538
153.4240723	160.19672	284.49133
156.1157227	176.97685	392.12662
158.807373	221.92911	336.20395
161.4990234	174.85542	402.83282
164.1906738	116.91941	206.41676
166.8823242	116.97962	140.96579
169.5739746	158.45943	197.08618
172.265625	179.75417	417.21585
174.9572754	466.81558	1303.9979
177.6489258	237.79459	355.99167
180.3405762	168.50131	505.82394
183.0322266	323.01627	436.05716
185.723877	143.58823	219.29623
188.4155273	370.4292	566.337
191.1071777	106.18929	166.77989
193.7988281	276.58328	368.82498
196.4904785	277.3436	408.09653
199.1821289	303.8075	571.26324
201.8737793	365.3902	928.2363
204.5654297	219.86655	259.96252
207.2570801	162.52802	198.86095
209.9487305	339.66388	942.5642
212.6403809	246.98683	333.33734
215.3320312	131.26364	267.6786
218.0236816	112.79234	151.31706
220.715332	132.66344	196.50131
223.4069824	310.10953	486.38565
226.0986328	255.53682	312.1767
228.7902832	314.10486	443.43832
231.4819336	318.76294	454.82532
234.173584	455.50607	688.1413
236.8652344	419.51566	535.22205
239.5568848	344.9197	728.2517
242.2485352	486.00073	1099.037
244.9401855	330.05295	742.37964
247.6318359	397.72665	734.71204
250.3234863	468.58145	702.0605
253.0151367	356.42215	528.8435
255.7067871	521.3442	752.6424
258.3984375	484.4735	741.17413
261.0900879	442.88715	742.1569
263.7817383	282.89807	374.77344
266.4733887	330.2934	550.57965
269.1650391	435.37408	904.1185
271.8566895	445.8426	765.30286
274.5483398	562.6414	759.4475
277.2399902	824.95233	1150.5901
279.9316406	831.1989	1272.5692
282.623291	490.79382	778.258
285.3149414	622.6114	1481.1772
288.0065918	636.3415	982.43243
290.6982422	336.4886	547.08167
293.3898926	568.14484	957.79974
296.081543	375.3747	503.93103
298.7731934	508.6661	616.1589
301.4648438	474.89047	732.5098
304.1564941	458.59674	608.13824
306.8481445	653.59827	1389.1222
309.5397949	457.21582	626.70917
312.2314453	869.2578	1338.7749
314.9230957	856.9539	1622.4755
317.6147461	463.6504	1172.2317
320.3063965	940.3986	1856.8503
322.9980469	1044.3756	1543.4377
325.6896973	572.22986	763.09467
328.3813477	468.49307	628.1632
331.072998	502.11172	737.47754
333.7646484	584.8922	1181.5105
336.4562988	485.9883	1008.15137
339.1479492	378.9892	541.15845
341.8395996	709.3861	1571.4083
344.53125	737.3049	1041.7393
347.2229004	1043.5066	1815.1367
349.9145508	871.1758	2071.384
352.6062012	790.1726	1303.8976
355.2978516	1076.0219	2474.4346
357.989502	511.4933	850.1362
360.6811523	459.6989	717.49915
363.3728027	1647.4031	3224.0024
366.0644531	847.6125	1980.5533
368.7561035	450.39282	978.9089
371.4477539	659.86993	1309.9894
374.1394043	909.42975	1084.4708
376.8310547	617.32043	1061.5234
379.5227051	494.55524	676.52124
382.2143555	740.40704	1347.0693
384.9060059	862.1012	1332.2112
387.5976562	407.45996	587.0028
390.2893066	931.45557	1141.7344
392.980957	691.2655	1001.40094
395.6726074	618.2771	1055.975
398.3642578	800.9319	1538.0376
401.0559082	838.2032	1504.7352
403.7475586	1394.985	3440.3662
406.439209	810.34204	1431.1046
409.1308594	1069.776	2268.7397
411.8225098	901.4938	1190.5536
414.5141602	892.838	1502.7751
417.2058105	603.6737	826.4495
419.8974609	686.8435	1527.825
422.5891113	502.15796	892.1415
425.2807617	1099.3632	1509.0148
427.9724121	618.88684	969.4701
430.6640625	959.6463	1562.6239
433.3557129	833.84064	1747.7728
436.0473633	748.31604	1099.2467
438.7390137	869.83203	2236.5671
441.4306641	1207.4917	1676.4955
444.1223145	1310.6514	3533.2773
446.8139648	430.123	648.08215
449.5056152	706.0852	933.67554
452.1972656	843.24066	1512.0751
454.888916	482.88513	709.97424
457.5805664	408.80994	906.15393
460.2722168	677.4227	1143.3008
462.9638672	1103.5967	1537.8313
465.6555176	1248.151	1458.8181
468.347168	1090.517	1480.1727
471.0388184	775.21106	1099.2777
473.7304688	758.19543	1005.5871
476.4221191	405.6354	681.028
479.1137695	833.455	1077.7888
481.8054199	697.8981	903.2843
484.4970703	748.10077	1034.6401
487.1887207	423.40265	1248.244
489.8803711	763.0362	1391.3481
492.5720215	560.688	834.87616
495.2636719	616.9094	764.26294
497.9553223	457.80844	801.96277
500.6469727	890.2377	1479.8445
503.338623	504.21313	963.25494
506.0302734	668.4293	1749.2039
508.7219238	413.17755	676.4995
511.4135742	591.2223	1115.3862
514.1052246	228.90381	405.4832
516.796875	700.50464	923.2772
519.4885254	904.5595	1216.1683
522.1801758	353.42664	721.99896
524.8718262	618.9204	1339.2566
527.5634766	856.73224	1248.2415
530.255127	843.87787	1274.9839
532.9467773	809.1752	1210.0096
535.6384277	932.47705	1704.4802
538.3300781	603.96277	942.5732
541.0217285	505.48148	821.74963
543.7133789	566.5475	894.28845
546.4050293	570.8797	1500.3905
549.0966797	654.91565	1087.9054
551.7883301	810.6573	933.57513
554.4799805	535.3384	727.3074
557.1716309	611.8245	1009.4313
559.8632812	867.6411	942.97253
562.5549316	440.63593	857.1204
565.246582	948.75146	1760.2667
567.9382324	428.9757	506.81506
570.6298828	395.98624	595.5355
573.3215332	478.87686	1130.8079
576.0131836	484.06058	806.7734
578.704834	464.82193	810.8625
581.3964844	424.90634	692.0226
584.0881348	605.01825	1070.6136
586.7797852	249.97495	453.6315
589.4714355	703.208	1193.6616
592.1630859	776.2649	1057.2131
594.8547363	536.6384	644.58527
597.5463867	444.12546	672.0579
600.2380371	404.2776	518.9551
602.9296875	419.25327	601.3497
605.6213379	574.4838	668.2532
608.3129883	689.8481	1182.0013
611.0046387	346.20096	579.89154
613.6962891	711.18976	1268.491
616.3879395	641.5581	977.9879
619.0795898	663.153	936.1485
621.7712402	701.7405	1043.1368
624.4628906	883.3219	1491.3923
627.154541	890.43475	1420.453
629.8461914	628.57935	894.19916
632.5378418	710.74506	1045.4249
635.2294922	363.00485	546.43616
637.9211426	672.2148	1075.735
640.612793	724.8181	1402.3455
643.3044434	1072.4082	1397.4246
645.9960938	281.49326	487.09372
648.6877441	644.02783	1022.1485
651.3793945	325.07745	793.20514
654.0710449	467.68884	548.383
656.7626953	708.4927	914.8514
659.4543457	643.78625	837.16846
662.1459961	1107.5477	1547.349
664.8376465	743.07733	1198.5786
667.5292969	535.8111	922.4534
670.2209473	660.618	1138.6852
672.9125977	669.71375	975.486
675.604248	467.85995	775.15955
678.2958984	1018.2627	1819.0742
680.9875488	771.7905	1100.7349
683.6791992	884.9852	1205.105
686.3708496	640.9462	1171.8757
689.0625	805.7458	1210.6984
691.7541504	562.4432	894.63544
694.4458008	982.15955	1639.1888
697.1374512	1166.9744	1814.4431
699.8291016	886.64355	1176.8551
702.520752	1061.8416	1484.7404
705.2124023	1426.9662	3292.6077
707.9040527	615.4236	816.6201
710.5957031	897.3603	1274.8838
713.2873535	974.9716	2019.9971
715.9790039	789.57227	2085.1152
718.6706543	757.61926	1118.2852
721.3623047	688.767	1232.405
724.0539551	821.9455	1082.5343
726.7456055	844.15137	1159.2333
729.4372559	900.6855	1242.0071
732.1289062	636.5825	740.99554
734.8205566	933.4453	2037.7421
737.512207	709.22266	1130.333
740.2038574	438.7282	981.7346
742.8955078	735.1572	1331.6655
745.5871582	308.65717	623.2238
748.2788086	1139.468	1695.1102
750.970459	697.39716	1567.0652
753.6621094	789.6967	1270.2173
756.3537598	905.408	1268.402
759.0454102	915.6701	1013.8724
761.7370605	786.2051	1097.0123
764.4287109	573.8643	813.5488
767.1203613	827.4238	1007.9132
769.8120117	897.85864	1626.0837
772.5036621	627.04926	1063.4943
775.1953125	1180.8115	2384.4604
777.8869629	651.4519	820.92255
780.5786133	854.7532	1293.9384
783.2702637	908.48517	1159.5587
785.9619141	685.60913	1132.4569
788.6535645	401.5419	630.4029
