Spectrum Analyzer Data File		
2015/4/29 15:31		
		
Frequency (Hz)	Average Amplitude	Max Amplitude
0	0	0
2.6916504	1.86E-04	5.63E-04
5.3833008	0.002898492	0.008765195
8.0749512	0.015114105	0.046849716
10.7666016	0.039741803	0.121924005
13.458252	0.091164894	0.28016132
16.1499023	0.13368632	0.38134637
18.8415527	0.2574793	0.78944486
21.5332031	0.4443079	1.3936853
24.2248535	0.56117356	1.722544
26.9165039	0.7654844	2.345269
29.6081543	0.96980506	2.9574387
32.2998047	1.1857008	3.6475818
34.9914551	1.4446183	4.340577
37.6831055	1.6674391	4.9177556
40.3747559	2.2643983	7.041865
43.0664062	2.599466	7.817061
45.7580566	2.7091691	8.013004
48.449707	2.831856	8.137809
51.1413574	3.899691	11.811192
53.8330078	4.3407397	12.984575
56.5246582	5.1632624	15.461242
59.2163086	6.08405	17.136116
61.907959	5.8165183	15.227858
64.5996094	9.10875	23.722023
67.2912598	10.314846	25.83007
69.9829102	13.093387	29.846779
72.6745605	15.680134	31.80055
75.3662109	12.731425	25.69615
78.0578613	26.357319	48.681664
80.7495117	45.27422	83.73576
83.4411621	59.088627	80.58404
86.1328125	74.85335	249.96242
88.8244629	108.9915	352.1079
91.5161133	143.195	494.3624
94.2077637	40.18479	92.975395
96.8994141	54.283245	107.45878
99.5910645	48.603767	78.94985
102.2827148	57.394638	94.933235
104.9743652	51.509663	97.17064
107.6660156	66.43199	127.719246
110.357666	67.880394	140.81323
113.0493164	62.114697	106.15636
115.7409668	68.12561	127.88428
118.4326172	81.64491	191.7973
121.1242676	61.950497	104.477516
123.815918	112.51157	189.3826
126.5075684	183.62845	250.4292
129.1992188	288.3297	454.95013
131.8908691	283.38602	476.71722
134.5825195	253.5498	488.84073
137.2741699	233.20107	639.70386
139.9658203	192.2333	558.3394
142.6574707	118.32847	233.41898
145.3491211	79.988625	123.2966
148.0407715	109.80373	256.88187
150.7324219	77.27224	138.61545
153.4240723	99.132034	179.93999
156.1157227	112.568924	193.37036
158.807373	126.58485	201.67021
161.4990234	91.49196	203.91321
164.1906738	236.51263	292.5714
166.8823242	291.85727	904.31415
169.5739746	620.8573	2191.9673
172.265625	197.30945	382.0554
174.9572754	227.47289	693.69543
177.6489258	317.34814	913.4602
180.3405762	573.0214	1838.6104
183.0322266	334.44608	803.3714
185.723877	376.70718	1126.093
188.4155273	220.38065	596.07697
191.1071777	162.10141	277.99652
193.7988281	125.66585	150.28809
196.4904785	141.35123	220.42484
199.1821289	130.8203	226.85779
201.8737793	171.22423	263.854
204.5654297	128.26549	291.7401
207.2570801	204.18298	273.63516
209.9487305	275.83688	386.368
212.6403809	392.0091	1121.8228
215.3320312	221.9364	548.9103
218.0236816	195.05914	467.12457
220.715332	194.31946	510.31656
223.4069824	241.37456	596.7362
226.0986328	263.7736	726.72974
228.7902832	401.91226	1203.0895
231.4819336	464.9375	1337.1791
234.173584	315.9175	791.39014
236.8652344	235.09845	428.8161
239.5568848	176.11293	336.24997
242.2485352	151.3779	260.2692
244.9401855	153.8111	309.6192
247.6318359	269.00284	517.2891
