Spectrum Analyzer Data File
2015-04-29 15:33:29

Frequency (Hz), Amplitude,Average Amplitude,Max Amplitude
0.0000000,0.0,0.0,0.0
2.6916504,1.2604965E-4,9.848182E-5,2.6799712E-4
5.3833008,0.0019092573,0.0013737439,0.0034320906
8.0749512,0.009023956,0.0070106345,0.018883869
10.7666016,0.025781127,0.021637479,0.06234475
13.4582520,0.056438293,0.04676486,0.13266414
16.1499023,0.10331832,0.080753215,0.21798684
18.8415527,0.16962771,0.14366437,0.41385815
21.5332031,0.25315812,0.21345857,0.6098883
24.2248535,0.35741624,0.28736514,0.790792
26.9165039,0.49486646,0.39284328,1.0830377
29.6081543,0.64656043,0.4763411,1.2119356
32.2998047,0.7532203,0.5969258,1.5802501
34.9914551,0.9532423,0.79632616,2.1711426
37.6831055,1.2491492,1.0180749,2.8215594
40.3747559,1.4969264,1.1485296,3.0742862
43.0664062,1.6426991,1.3870196,3.8439758
45.7580566,1.903809,1.6277242,4.5216713
48.4497070,2.2336829,1.8679323,5.0723777
51.1413574,2.5682464,2.0225673,5.083005
53.8330078,3.0816967,2.39913,5.527481
56.5246582,4.211137,2.9232059,5.9392505
59.2163086,1.793164,3.0660195,8.169633
61.9079590,1.1922485,2.8450975,5.641491
64.5996094,9.461585,8.098974,17.169727
67.2912598,28.761824,15.687067,33.551258
69.9829102,36.298145,18.138866,36.298145
72.6745605,47.30073,21.737833,47.30073
75.3662109,21.557747,23.522575,83.09099
78.0578613,47.694885,42.44566,117.74805
80.7495117,33.878883,37.81375,124.19719
83.4411621,67.497314,35.56697,67.497314
86.1328125,156.68867,47.343197,156.68867
88.8244629,36.208748,20.054384,36.208748
91.5161133,115.58979,37.938663,115.58979
94.2077637,69.17389,35.493645,69.17389
96.8994141,45.780968,43.53368,133.02615
99.5910645,105.64478,66.60266,200.67888
102.2827148,182.90808,79.200294,182.90808
104.9743652,174.96422,87.67149,188.54478
107.6660156,321.22437,122.70819,321.22437
110.3576660,239.33221,92.29125,239.33221
113.0493164,122.64573,65.54926,122.64573
115.7409668,74.32536,71.1372,113.54372
118.4326172,62.842804,91.44512,339.37848
121.1242676,197.97072,98.92446,217.95653
123.8159180,12.839903,45.213333,92.586395
126.5075684,83.5554,59.813263,118.9888
129.1992188,152.71182,131.63597,445.56912
131.8908691,254.52051,221.28307,791.28674
134.5825195,306.26425,201.04198,541.5295
137.2741699,327.16495,276.0803,938.4423
139.9658203,164.36111,282.83676,1102.8093
142.6574707,126.116684,269.44458,962.61456
145.3491211,192.62589,209.26639,663.4628
148.0407715,20.789104,122.92584,291.12695
150.7324219,240.90923,264.6646,618.1977
153.4240723,299.66666,363.7836,1183.3608
156.1157227,75.67135,420.03915,1094.068
158.8073730,60.229893,458.76144,1805.0039
161.4990234,269.14322,408.60873,1368.388
164.1906738,292.9453,313.09338,683.777
166.8823242,112.13476,360.0175,834.3445
169.5739746,191.45268,172.88821,328.8926
172.2656250,231.13068,178.92888,330.00018
174.9572754,138.86066,127.204384,224.79036
177.6489258,220.61137,127.95305,220.61137
180.3405762,170.98125,91.2424,170.98125
183.0322266,314.85397,159.92145,314.85397
185.7238770,162.76268,88.06982,162.76268
188.4155273,272.23602,199.45299,388.22827
191.1071777,279.74484,132.5761,279.74484
193.7988281,153.43764,139.63641,283.93698
196.4904785,43.37785,198.43768,549.57306
199.1821289,31.69189,319.18448,1208.5846
201.8737793,117.99435,317.60123,1136.1948
204.5654297,224.10829,222.6731,627.9282
207.2570801,282.39816,301.02118,787.95184
209.9487305,89.155205,138.03006,272.70743
212.6403809,264.16684,162.14478,283.81848
215.3320312,107.24513,177.48776,463.96082
218.0236816,189.96413,148.32333,305.34964
220.7153320,327.37604,169.51112,327.37604
223.4069824,148.35785,198.8624,425.04102
226.0986328,114.50455,192.73462,581.29205
228.7902832,169.07166,245.24588,659.48645
231.4819336,186.43758,226.72362,656.1229
234.1735840,149.77861,261.03226,632.4119
236.8652344,365.66382,276.76025,670.7293
239.5568848,347.0074,432.5123,1444.9895
242.2485352,229.11414,318.9686,1112.0883
244.9401855,265.84775,142.72487,265.84775
247.6318359,311.79733,144.8987,311.79733
250.3234863,227.23955,163.06755,313.79718
253.0151367,564.79724,210.58986,564.79724
255.7067871,398.071,166.59427,398.071
258.3984375,130.21442,252.82776,439.8638
261.0900879,106.310135,169.27965,416.588
263.7817383,101.20045,227.3726,551.2313
266.4733887,399.56183,275.27295,578.0319
269.1650391,246.43286,258.97894,668.3165
271.8566895,38.760433,441.252,1323.8884
274.5483398,205.78455,327.07642,795.91376
277.2399902,263.85446,291.41486,554.973
279.9316406,200.62994,405.21588,849.84326
282.6232910,417.30984,363.4799,990.39905
285.3149414,250.15047,181.57733,250.15047
288.0065918,271.6552,169.9037,271.6552
290.6982422,318.7631,215.95636,387.09695
293.3898926,196.56973,209.92651,494.2795
